data_file,sorter_name,accuracy,recall,precision
C_Easy2_noise02,kmeans,0.449353117,0.787057294,0.508320343
simulation_1,kmeans,0.161661313,0.483261904,0.197711705
simulation_90,kmeans,0.095447629,0.507191107,0.098142265
simulation_91,kmeans,0.153917493,0.392639028,0.182172947
simulation_92,kmeans,0.143442984,0.483875656,0.166479108
simulation_95,kmeans,0.199600805,0.540609799,0.244649038
simulation_93,kmeans,0.375846957,0.765089341,0.438922095
simulation_94,kmeans,0.567371993,0.807795554,0.635248598
C_Difficult1_noise005,gmm_ft,0.696766508,0.817749682,0.817451594
C_Difficult1_noise005,dpgmm_ft,0.943406741,0.950390447,0.992705353
C_Difficult1_noise005,hdbscan_ft,0.704781865,0.967893306,0.713213364
C_Difficult1_noise01,gmm_ft,0.958459309,0.943255566,1
C_Difficult1_noise01,dpgmm_ft,0.935164491,0.980884273,0.955396572
C_Difficult1_noise01,hdbscan_ft,0.662469315,0.968996074,0.682473064
C_Difficult1_noise015,gmm_ft,0.978315844,0.967084596,1
C_Difficult1_noise015,dpgmm_ft,0.992177518,0.987379036,1
C_Difficult1_noise015,hdbscan_ft,0.70086545,0.893965655,0.73871465
C_Difficult1_noise02,gmm_ft,0.818178202,0.883304755,0.925607626
C_Difficult1_noise02,dpgmm_ft,0.864953629,0.900157932,0.959663296
C_Difficult1_noise02,hdbscan_ft,0.6419099,0.871566711,0.702687223
C_Difficult2_noise005,gmm_ft,0.675964542,0.791716579,0.87377478
C_Difficult2_noise005,dpgmm_ft,0.879486569,0.888436512,0.982185194
C_Difficult2_noise005,hdbscan_ft,0.629582062,0.929174944,0.669820247
C_Difficult2_noise01,gmm_ft,0.577305686,0.826151755,0.698993328
C_Difficult2_noise01,dpgmm_ft,0.812788031,0.877196338,0.922893608
C_Difficult2_noise01,hdbscan_ft,0.549326914,0.858496001,0.592103307
C_Difficult2_noise015,gmm_ft,0.680337701,0.760324564,0.890721565
C_Difficult2_noise015,dpgmm_ft,0.752272573,0.845488261,0.873158948
C_Difficult2_noise015,hdbscan_ft,0.467656395,0.676950596,0.606787677
C_Difficult2_noise02,gmm_ft,0.576145143,0.856701352,0.621940518
C_Difficult2_noise02,dpgmm_ft,0.561826402,0.613869301,0.879891553
C_Difficult2_noise02,hdbscan_ft,0.365388381,0.982401912,0.329879966
C_Easy1_noise005,gmm_ft,0.955119382,0.946096279,1
C_Easy1_noise005,dpgmm_ft,0.978876461,0.986651855,0.992181032
C_Easy1_noise005,hdbscan_ft,0.937830979,0.959444393,0.977969275
C_Easy1_noise01,gmm_ft,0.722600008,0.792096276,0.91756129
C_Easy1_noise01,dpgmm_ft,0.928169995,0.962511721,0.965549875
C_Easy1_noise01,hdbscan_ft,0.870409919,0.929256374,0.929587758
C_Easy1_noise015,gmm_ft,0.85359814,0.909756093,0.917717065
C_Easy1_noise015,dpgmm_ft,0.827886977,0.915471841,0.886126637
C_Easy1_noise015,hdbscan_ft,0.781056438,0.900992321,0.858790517
C_Easy1_noise02,gmm_ft,0.678497479,0.717456668,0.884104042
C_Easy1_noise02,dpgmm_ft,0.806814078,0.808028734,0.936640049
C_Easy1_noise02,hdbscan_ft,0.68564743,0.721915185,0.889108156
C_Easy2_noise005,gmm_ft,0.947004906,0.938850748,1
C_Easy2_noise005,dpgmm_ft,0.976728772,0.949594599,1
C_Easy2_noise005,hdbscan_ft,0.913619544,0.920450797,0.992633037
C_Easy2_noise01,gmm_ft,1,0.972256245,1
C_Easy2_noise01,dpgmm_ft,0.936661287,0.970174764,0.966609675
C_Easy2_noise01,hdbscan_ft,0.683786842,0.844207026,0.780643921
C_Easy2_noise015,gmm_ft,0.967909617,0.938584719,1
C_Easy2_noise015,dpgmm_ft,0.947534025,0.974137911,0.973381221
C_Easy2_noise015,hdbscan_ft,0.589014964,0.750982418,0.837127911
C_Easy2_noise02,gmm_ft,0.932042677,0.984586955,0.948974269
C_Easy2_noise02,dpgmm_ft,0.941873675,0.946630874,0.994671725
C_Easy2_noise02,hdbscan_ft,0.33313244,1,0.316387633
simulation_1,gmm_ft,0.689504367,0.729950449,0.784214475
simulation_1,dpgmm_ft,0.75927635,0.806425822,0.792984131
simulation_1,hdbscan_ft,0.168926913,0.414327015,0.191285503
simulation_90,gmm_ft,0.725795578,0.876800752,0.807818075
simulation_90,dpgmm_ft,0.814755127,0.903288782,0.76518206
simulation_90,hdbscan_ft,0.184761502,0.67915775,0.178223813
simulation_91,gmm_ft,0.577726077,0.698192848,0.616911062
simulation_91,dpgmm_ft,0.754296054,0.886115658,0.624861224
simulation_91,hdbscan_ft,0.141990842,0.416407542,0.144992064
simulation_92,gmm_ft,0.466758602,0.594580021,0.65152633
simulation_92,dpgmm_ft,0.584963763,0.70389482,0.787442362
simulation_92,hdbscan_ft,0.126783243,0.384584164,0.113537694
simulation_95,gmm_ft,0.549465443,0.656390912,0.716579515
simulation_95,dpgmm_ft,0.671135364,0.765090806,0.714570942
simulation_95,hdbscan_ft,0.231155721,0.385862256,0.191760409
simulation_93,gmm_ft,0.674719457,0.860864907,0.757766813
simulation_93,dpgmm_ft,0.706850248,0.882662727,0.759765983
simulation_93,hdbscan_ft,0.13987345,0.493392874,0.092418917
simulation_94,gmm_ft,0.956335399,0.967097081,0.986861167
simulation_94,dpgmm_ft,0.955362142,0.974404919,0.978652806
simulation_94,hdbscan_ft,0.374215131,0.998242558,0.325634644
